iteration,sender,receiver,news_id,news_party,news_veracity
0,bot_1,326,1,A,False
0,bot_3,264,3,A,False
0,bot_5,171,5,A,False
0,bot_6,245,6,A,False
0,bot_8,272,8,B,False
0,bot_8,211,8,B,False
0,bot_9,304,9,B,False
0,newsreel_0,134,10,A,True
0,newsreel_0,77,10,A,True
0,newsreel_1,345,11,A,True
0,newsreel_2,71,12,A,True
0,newsreel_3,297,13,B,True
0,newsreel_4,344,14,A,True
0,newsreel_4,194,14,A,True
0,newsreel_5,306,15,B,True
0,newsreel_5,241,15,B,True
0,newsreel_5,77,15,B,True
0,newsreel_6,61,16,B,True
0,newsreel_7,175,17,A,True
0,newsreel_7,293,17,A,True
0,newsreel_7,85,17,A,True
0,newsreel_8,164,18,B,True
0,newsreel_8,345,18,B,True
0,newsreel_9,254,19,B,True
0,newsreel_9,79,19,B,True
0,newsreel_9,90,19,B,True
1,326,226,1,A,False
1,326,2,1,A,False
1,326,111,1,A,False
1,326,0,1,A,False
1,264,259,3,A,False
1,171,107,5,A,False
1,171,217,5,A,False
1,245,8,6,A,False
1,245,91,6,A,False
1,245,0,6,A,False
1,211,239,8,B,False
1,272,239,8,B,False
1,211,203,8,B,False
1,272,203,8,B,False
1,211,331,8,B,False
1,211,118,8,B,False
1,211,128,8,B,False
1,211,271,8,B,False
1,272,271,8,B,False
1,211,304,8,B,False
1,272,304,8,B,False
1,211,268,8,B,False
1,272,21,8,B,False
1,272,329,8,B,False
1,272,9,8,B,False
1,272,236,8,B,False
1,272,213,8,B,False
1,272,156,8,B,False
1,272,258,8,B,False
1,272,79,8,B,False
1,272,184,8,B,False
1,304,249,9,B,False
1,304,158,9,B,False
1,304,212,9,B,False
1,304,322,9,B,False
1,304,324,9,B,False
1,304,172,9,B,False
1,304,161,9,B,False
1,304,9,9,B,False
1,304,109,9,B,False
1,304,257,9,B,False
1,304,285,9,B,False
1,304,341,9,B,False
1,304,332,9,B,False
1,304,211,9,B,False
1,77,332,10,A,True
1,77,294,10,A,True
1,77,231,10,A,True
1,77,0,10,A,True
1,134,0,10,A,True
1,134,56,10,A,True
1,134,118,10,A,True
1,134,132,10,A,True
1,134,66,10,A,True
1,134,67,10,A,True
1,134,199,10,A,True
1,134,304,10,A,True
1,134,203,10,A,True
1,134,238,10,A,True
1,134,113,10,A,True
1,134,277,10,A,True
1,134,248,10,A,True
1,345,122,11,A,True
1,345,142,11,A,True
1,345,186,11,A,True
1,345,285,11,A,True
1,345,178,11,A,True
1,345,303,11,A,True
1,345,21,11,A,True
1,345,322,11,A,True
1,345,252,11,A,True
1,345,45,11,A,True
1,345,0,11,A,True
1,71,230,12,A,True
1,71,0,12,A,True
1,297,56,13,B,True
1,297,203,13,B,True
1,297,236,13,B,True
1,297,188,13,B,True
1,297,322,13,B,True
1,297,280,13,B,True
1,297,272,13,B,True
1,297,9,13,B,True
